driver_id,driver_name,phone,license_number,vehicle_id,joining_date
DRV_0330,Sumit Menon,+918639971710,MP20215882155,VH_0030,2024-10-14
DRV_0331,Santosh Joshi,+918222153955,RJ20159424968,VH_0031,2024-12-16
DRV_0332,Ravi Patil,+917732259144,WB20128486336,VH_0032,2024-10-01
DRV_0333,Mohit Deshmukh,+918098504955,KA20219111841,VH_0033,2024-06-21
DRV_0334,Mahesh Reddy,+917475450221,TN20115435176,VH_0034,2024-06-15
DRV_0335,Sanjay Singh,+917737752746,WB20227060792,VH_0035,2024-06-06
DRV_0336,Prakash Banerjee,+917016232730,MH20206437011,VH_0036,2024-10-30
DRV_0337,Pradeep Pawar,+919087662596,WB20193916715,VH_0037,2024-06-12
DRV_0338,Rahul Menon,+918097689346,DL20185220919,VH_0038,2024-06-12
DRV_0339,Sanjay Joshi,+918657365168,GJ20179088465,VH_0039,2023-09-24
DRV_0340,Ramesh Joshi,+917028652010,UP20124858604,VH_0040,2024-11-12
DRV_0341,Pradeep Patel,+919535086055,KA20152985251,VH_0041,2024-01-18
DRV_0342,Sanjay Ghosh,+917354322017,DL20179033176,VH_0042,2024-04-20
DRV_0343,Vijay Deshmukh,+919496873663,RJ20105088109,VH_0043,2024-11-29
DRV_0344,Amit Deshmukh,+918031626387,KA20209600719,VH_0044,2024-12-01
DRV_0345,Sumit Singh,+919444663022,KA20187802428,VH_0045,2024-02-19
DRV_0346,Suresh Pawar,+917598817918,AP20114633834,VH_0046,2024-05-06
DRV_0347,Prakash Chatterjee,+919439442512,RJ20193394312,VH_0047,2023-11-11
DRV_0348,Mohit Patil,+917778559074,AP20126749069,VH_0048,2024-05-03
DRV_0349,Dinesh Reddy,+918661735818,KA20111277874,VH_0049,2024-09-09
DRV_0350,Vikas Gupta,+917922924976,KA20171654924,VH_0050,2023-09-29
